planner,strategy,fail_prob,seed,grid_size,success,steps,replans,planning_time_total,planning_time_avg,wallclock_time
PDDL,lookahead,0.0,20,5,True,15,1,0.007870912551879883,0.007870912551879883,0.0082
PDDL,lookahead,0.0,21,5,True,13,1,0.007608175277709961,0.007608175277709961,0.0079
PDDL,lookahead,0.0,22,5,True,13,1,0.0077250003814697266,0.0077250003814697266,0.008
PDDL,lookahead,0.0,23,5,True,15,1,0.007479190826416016,0.007479190826416016,0.0078
PDDL,lookahead,0.0,24,5,True,12,1,0.0077190399169921875,0.0077190399169921875,0.008
PDDL,lookahead,0.0,25,5,True,18,1,0.007767915725708008,0.007767915725708008,0.0082
PDDL,lookahead,0.0,26,5,True,14,1,0.007809877395629883,0.007809877395629883,0.0081
PDDL,lookahead,0.0,27,5,True,12,1,0.007910966873168945,0.007910966873168945,0.0082
PDDL,lookahead,0.0,28,5,True,17,1,0.007967948913574219,0.007967948913574219,0.0083
PDDL,lookahead,0.0,29,5,True,17,1,0.007588863372802734,0.007588863372802734,0.0079
PDDL,lookahead,0.05,0,5,True,15,1,0.007908821105957031,0.007908821105957031,0.0082
PDDL,lookahead,0.05,1,5,True,13,2,0.014681339263916016,0.007340669631958008,0.0149
PDDL,lookahead,0.05,2,5,True,10,1,0.011806249618530273,0.011806249618530273,0.012
PDDL,lookahead,0.05,3,5,True,13,2,0.018141984939575195,0.009070992469787598,0.0187
PDDL,lookahead,0.05,4,5,True,13,1,0.011278867721557617,0.011278867721557617,0.0134
PDDL,lookahead,0.05,5,5,True,11,2,0.015831947326660156,0.007915973663330078,0.0161
PDDL,lookahead,0.05,6,5,True,11,2,0.016594886779785156,0.008297443389892578,0.0169
PDDL,lookahead,0.05,7,5,True,12,2,0.015012979507446289,0.0075064897537231445,0.0153
PDDL,lookahead,0.05,8,5,True,15,1,0.007983207702636719,0.007983207702636719,0.0083
PDDL,lookahead,0.05,9,5,True,17,3,0.022560834884643555,0.007520278294881185,0.0229
PDDL,lookahead,0.05,10,5,True,7,1,0.008988142013549805,0.008988142013549805,0.0091
PDDL,lookahead,0.05,11,5,True,16,1,0.0075571537017822266,0.0075571537017822266,0.0078
PDDL,lookahead,0.05,12,5,True,17,2,0.01714324951171875,0.008571624755859375,0.0176
PDDL,lookahead,0.05,13,5,True,15,1,0.007578849792480469,0.007578849792480469,0.0081
PDDL,lookahead,0.05,14,5,True,16,1,0.0078067779541015625,0.0078067779541015625,0.0082
PDDL,lookahead,0.05,15,5,True,17,3,0.0606379508972168,0.020212650299072266,0.0611
PDDL,lookahead,0.05,16,5,True,16,2,0.015996217727661133,0.007998108863830566,0.0163
PDDL,lookahead,0.05,17,5,True,12,2,0.014720678329467773,0.007360339164733887,0.0151
PDDL,lookahead,0.05,18,5,True,13,1,0.007979631423950195,0.007979631423950195,0.0083
PDDL,lookahead,0.05,19,5,True,8,1,0.007675886154174805,0.007675886154174805,0.0079
PDDL,lookahead,0.05,20,5,True,15,1,0.006484031677246094,0.006484031677246094,0.0067
PDDL,lookahead,0.05,21,5,True,14,2,0.011726856231689453,0.0058634281158447266,0.012
PDDL,lookahead,0.05,22,5,True,14,2,0.011903047561645508,0.005951523780822754,0.0121
PDDL,lookahead,0.05,23,5,True,16,2,0.011054515838623047,0.0055272579193115234,0.0113
PDDL,lookahead,0.05,24,5,True,12,1,0.005095243453979492,0.005095243453979492,0.0053
PDDL,lookahead,0.05,25,5,True,19,2,0.01047515869140625,0.005237579345703125,0.0107
PDDL,lookahead,0.05,26,5,True,15,2,0.010390043258666992,0.005195021629333496,0.0106
PDDL,lookahead,0.05,27,5,True,12,1,0.0057637691497802734,0.0057637691497802734,0.006
PDDL,lookahead,0.05,28,5,True,18,2,0.010445117950439453,0.0052225589752197266,0.0107
PDDL,lookahead,0.05,29,5,True,17,1,0.005270957946777344,0.005270957946777344,0.0055
PDDL,lookahead,0.1,0,5,True,15,1,0.005217790603637695,0.005217790603637695,0.0054
PDDL,lookahead,0.1,1,5,True,14,3,0.014962911605834961,0.004987637201944987,0.0152
PDDL,lookahead,0.1,2,5,True,12,3,0.016217947006225586,0.005405982335408528,0.0165
PDDL,lookahead,0.1,3,5,True,14,3,0.01591968536376953,0.005306561787923177,0.0161
PDDL,lookahead,0.1,4,5,True,14,2,0.010390281677246094,0.005195140838623047,0.0106
PDDL,lookahead,0.1,5,5,True,11,2,0.00991678237915039,0.004958391189575195,0.0101
PDDL,lookahead,0.1,6,5,True,11,2,0.010764837265014648,0.005382418632507324,0.011
PDDL,lookahead,0.1,7,5,True,16,6,0.029944896697998047,0.004990816116333008,0.0302
PDDL,lookahead,0.1,8,5,True,16,2,0.010418891906738281,0.005209445953369141,0.0107
PDDL,lookahead,0.1,9,5,True,18,4,0.020278453826904297,0.005069613456726074,0.0206
PDDL,lookahead,0.1,10,5,True,7,1,0.005088090896606445,0.005088090896606445,0.0052
PDDL,lookahead,0.1,11,5,True,19,4,0.019985198974609375,0.004996299743652344,0.0203
PDDL,lookahead,0.1,12,5,True,17,2,0.010540246963500977,0.005270123481750488,0.0108
PDDL,lookahead,0.1,13,5,True,15,1,0.005254268646240234,0.005254268646240234,0.0054
PDDL,lookahead,0.1,14,5,True,16,1,0.005409955978393555,0.005409955978393555,0.0057
PDDL,lookahead,0.1,15,5,True,17,3,0.015504121780395508,0.005168040593465169,0.0158
PDDL,lookahead,0.1,16,5,True,16,2,0.010409832000732422,0.005204916000366211,0.0106
PDDL,lookahead,0.1,17,5,True,12,2,0.010313749313354492,0.005156874656677246,0.0105
PDDL,lookahead,0.1,18,5,True,13,1,0.00618290901184082,0.00618290901184082,0.0064
PDDL,lookahead,0.1,19,5,True,8,1,0.010088920593261719,0.010088920593261719,0.0103
PDDL,lookahead,0.1,20,5,True,15,1,0.007854223251342773,0.007854223251342773,0.0081
PDDL,lookahead,0.1,21,5,True,14,2,0.013116836547851562,0.006558418273925781,0.0134
PDDL,lookahead,0.1,22,5,True,14,2,0.01496577262878418,0.00748288631439209,0.0153
PDDL,lookahead,0.1,23,5,True,18,4,0.02866077423095703,0.007165193557739258,0.0291
PDDL,lookahead,0.1,24,5,True,13,2,0.014892101287841797,0.0074460506439208984,0.0152
PDDL,lookahead,0.1,25,5,True,19,2,0.016584157943725586,0.008292078971862793,0.017
PDDL,lookahead,0.1,26,5,True,16,3,0.0220339298248291,0.007344643274943034,0.0224
PDDL,lookahead,0.1,27,5,True,13,2,0.01752185821533203,0.008760929107666016,0.0178
PDDL,lookahead,0.1,28,5,True,19,3,0.0260617733001709,0.008687257766723633,0.0266
PDDL,lookahead,0.1,29,5,True,17,1,0.008724212646484375,0.008724212646484375,0.0095
